125,3,"[528, 31, 634, 342]"
126,3,"[507, 37, 617, 299]"
127,3,"[483, 32, 605, 305]"
129,3,"[402, 21, 572, 459]"
130,3,"[373, 15, 534, 458]"
131,3,"[335, 11, 502, 462]"
138,3,"[136, 0, 314, 471]"
141,3,"[76, 30, 232, 480]"
142,3,"[37, 70, 216, 452]"
194,2,"[543, 102, 640, 480]"
195,2,"[531, 126, 640, 454]"
196,2,"[504, 89, 625, 480]"
197,2,"[478, 112, 623, 464]"
198,2,"[448, 120, 606, 461]"
199,2,"[441, 120, 594, 468]"
200,2,"[428, 139, 544, 439]"
200,5,"[0, 98, 93, 480]"
201,2,"[407, 119, 523, 463]"
202,2,"[391, 115, 508, 472]"
203,2,"[370, 136, 489, 452]"
207,2,"[307, 132, 414, 451]"
208,2,"[297, 131, 395, 459]"
210,2,"[271, 129, 361, 460]"
211,2,"[236, 127, 350, 460]"
212,2,"[217, 144, 350, 474]"
214,2,"[207, 127, 306, 465]"
215,2,"[194, 132, 293, 453]"
216,2,"[169, 160, 276, 465]"
217,2,"[155, 162, 268, 466]"
218,2,"[107, 169, 265, 463]"
219,2,"[109, 159, 258, 464]"
221,2,"[106, 141, 210, 450]"
222,2,"[94, 141, 192, 444]"
223,2,"[80, 153, 174, 438]"
224,2,"[72, 149, 162, 443]"
225,2,"[60, 166, 160, 453]"
226,2,"[37, 158, 151, 463]"
227,2,"[25, 158, 142, 465]"
228,2,"[27, 149, 122, 442]"
228,4,"[247, 8, 382, 418]"
229,4,"[146, 0, 354, 429]"
230,2,"[0, 150, 99, 437]"
230,4,"[92, 35, 337, 480]"
231,2,"[0, 158, 95, 433]"
231,4,"[56, 37, 309, 480]"
232,2,"[2, 153, 87, 439]"
232,4,"[64, 34, 235, 437]"
233,2,"[0, 147, 88, 446]"
233,4,"[26, 98, 200, 474]"
234,4,"[21, 8, 153, 457]"
235,2,"[0, 148, 38, 429]"
241,4,"[174, 32, 389, 480]"
242,4,"[222, 12, 416, 401]"
243,4,"[255, 25, 452, 444]"
244,4,"[288, 5, 497, 416]"
245,4,"[358, 40, 551, 480]"
247,4,"[435, 19, 610, 401]"
248,4,"[484, 11, 639, 409]"
281,5,"[0, 99, 94, 479]"
282,5,"[0, 99, 94, 474]"
283,5,"[0, 68, 100, 466]"
284,5,"[0, 63, 105, 468]"
286,5,"[6, 94, 118, 442]"
290,5,"[35, 104, 150, 439]"
291,5,"[19, 95, 159, 443]"
292,5,"[56, 98, 165, 444]"
293,5,"[69, 107, 171, 432]"
294,5,"[72, 111, 169, 422]"
295,5,"[77, 119, 174, 417]"
297,5,"[96, 100, 185, 434]"
298,5,"[98, 104, 185, 425]"
299,5,"[101, 102, 188, 423]"
